[ 0.36428814  0.63571186]
[ 0.06837065  0.93162935]
[ 0.19792353  0.80207647]
[ 0.43180131  0.56819869]
[ 0.18592367  0.81407633]
[ 0.15577145  0.84422855]
[ 0.21281749  0.78718251]
[ 0.19948583  0.80051417]
[ 0.07835145  0.92164855]
[ 0.30229095  0.69770905]
[ 0.16094697  0.83905303]
[ 0.20560621  0.79439379]
[ 0.54218296  0.45781704]
[ 0.17591058  0.82408942]
[ 0.04070459  0.95929541]
[ 0.14156196  0.85843804]
[ 0.09788759  0.90211241]
[ 0.20062239  0.79937761]
[ 0.14214256  0.85785744]
[ 0.28253186  0.71746814]
[ 0.06366721  0.93633279]
[ 0.14757331  0.85242669]
[ 0.10036974  0.89963026]
[ 0.30116512  0.69883488]
[ 0.041866  0.958134]
[ 0.28822547  0.71177453]
[ 0.10207143  0.89792857]
[ 0.10016208  0.89983792]
[ 0.50588822  0.49411178]
[ 0.1440684  0.8559316]
[ 0.23792376  0.76207624]
[ 0.36077782  0.63922218]
[ 0.31780955  0.68219045]
[ 0.32889587  0.67110413]
[ 0.2088341  0.7911659]
[ 0.01405636  0.98594364]
[ 0.2275056  0.7724944]
[ 0.24643289  0.75356711]
[ 0.31509837  0.68490163]
[ 0.2275056  0.7724944]
[ 0.01285935  0.98714065]
[ 0.13925747  0.86074253]
[ 0.24838947  0.75161053]
[ 0.2295479  0.7704521]
[ 0.08132558  0.91867442]
[ 0.09688832  0.90311168]
[ 0.07370017  0.92629983]
[ 0.13151263  0.86848737]
[ 0.32017145  0.67982855]
[ 0.12975309  0.87024691]
[ 0.12502185  0.87497815]
[ 0.23787058  0.76212942]
[ 0.14960261  0.85039739]
[ 0.65516026  0.34483974]
[ 0.19059828  0.80940172]
[ 0.14947883  0.85052117]
[ 0.00237896  0.99762104]
[ 0.18096471  0.81903529]
[ 0.16450509  0.83549491]
[ 0.24617506  0.75382494]
[ 0.98650528  0.01349472]
[ 0.18212954  0.81787046]
[ 0.06477598  0.93522402]
[ 0.41797921  0.58202079]
[ 0.2294875  0.7705125]
[ 0.26701751  0.73298249]
[ 0.40826589  0.59173411]
[ 0.13843835  0.86156165]
[ 0.13063015  0.86936985]
[ 0.23034622  0.76965378]
[ 0.08205429  0.91794571]
[ 0.69088189  0.30911811]
[ 0.13109689  0.86890311]
[ 0.01405636  0.98594364]
[ 0.12957232  0.87042768]
[ 0.21507225  0.78492775]
[ 0.13944703  0.86055297]
[ 0.42126861  0.57873139]
[ 0.09729624  0.90270376]
[ 0.53666513  0.46333487]
[ 0.35682409  0.64317591]
[ 0.18791832  0.81208168]
[ 0.00271034  0.99728966]
[ 0.26980749  0.73019251]
[ 0.00601695  0.99398305]
[ 0.21052412  0.78947588]
[ 0.01410696  0.98589304]
[ 0.00631145  0.99368855]
[ 0.86402857  0.13597143]
[ 0.10665298  0.89334702]
[ 0.0055852  0.9944148]
[ 0.32437996  0.67562004]
[ 0.03014916  0.96985084]
[ 0.6875455  0.3124545]
[ 0.1845627  0.8154373]
[ 0.01765685  0.98234315]
[ 0.06956008  0.93043992]
[ 0.73361118  0.26638882]
[ 0.25104099  0.74895901]
[ 0.14335077  0.85664923]
[ 0.22052488  0.77947512]
[ 0.21002696  0.78997304]
[ 0.03048123  0.96951877]
[ 0.18305616  0.81694384]
[ 0.32379811  0.67620189]
[ 0.06654382  0.93345618]
[ 0.32970071  0.67029929]
[ 0.18801288  0.81198712]
[ 0.01348652  0.98651348]
[ 0.23792376  0.76207624]
[ 0.73544884  0.26455116]
[ 0.2275056  0.7724944]
[ 0.1451966  0.8548034]
[ 0.6268477  0.3731523]
[ 0.22372949  0.77627051]
[ 0.84679413  0.15320587]
[ 0.23979383  0.76020617]
[ 0.37138123  0.62861877]
[ 0.20610817  0.79389183]
[ 0.43644772  0.56355228]
[ 0.98632109  0.01367891]
[ 0.23544075  0.76455925]
[ 0.38729959  0.61270041]
[ 0.42639952  0.57360048]
[ 0.1375351  0.8624649]
[ 0.0055852  0.9944148]
[ 0.04838975  0.95161025]
[ 0.23792376  0.76207624]
[ 0.10161759  0.89838241]
[ 0.10490531  0.89509469]
[ 0.11787475  0.88212525]
[ 0.215687  0.784313]
[ 0.0059171  0.9940829]
[ 0.43037751  0.56962249]
[ 0.0058597  0.9941403]
[ 0.0121903  0.9878097]
[ 0.70371628  0.29628372]
[ 0.23792376  0.76207624]
[ 0.15506354  0.84493646]
[ 0.20620625  0.79379375]
[ 0.24454231  0.75545769]
[ 0.17697749  0.82302251]
[ 0.09673086  0.90326914]
[ 0.3219251  0.6780749]
[ 0.2554332  0.7445668]
[ 0.13781313  0.86218687]
[ 0.20213534  0.79786466]
[ 0.37720483  0.62279517]
[ 0.18856994  0.81143006]
[ 0.29646173  0.70353827]
[ 0.36036122  0.63963878]
[ 0.00885038  0.99114962]
[ 0.13373837  0.86626163]
[ 0.09838305  0.90161695]
[ 0.27737062  0.72262938]
[ 0.11894287  0.88105713]
[ 0.5083845  0.4916155]
[ 0.84882411  0.15117589]
[ 0.13032794  0.86967206]
[ 0.06587361  0.93412639]
[ 0.32687521  0.67312479]
[ 0.36838966  0.63161034]
[ 0.13522915  0.86477085]
[ 0.49574075  0.50425925]
[ 0.073569  0.926431]
[ 0.12754593  0.87245407]
[ 0.35935169  0.64064831]
[ 0.40042397  0.59957603]
[ 0.17885087  0.82114913]
[ 0.03990239  0.96009761]
[ 0.16348773  0.83651227]
[ 0.27096657  0.72903343]
[ 0.06028509  0.93971491]
[ 0.1504394  0.8495606]
[ 0.08302499  0.91697501]
[ 0.3014208  0.6985792]
[ 0.05569858  0.94430142]
[ 0.11190812  0.88809188]
[ 0.11319066  0.88680934]
[ 0.09720771  0.90279229]
[ 0.4481627  0.5518373]
[ 0.01340014  0.98659986]
[ 0.19734029  0.80265971]
[ 0.18715291  0.81284709]
[ 0.40707736  0.59292264]
[ 0.05469092  0.94530908]
[ 0.05963055  0.94036945]
[ 0.15362286  0.84637714]
[ 0.66423291  0.33576709]
[ 0.36555163  0.63444837]
[ 0.68937157  0.31062843]
[ 0.01405636  0.98594364]
[ 0.00560548  0.99439452]
[ 0.13197831  0.86802169]
[ 0.14168435  0.85831565]
[ 0.24465855  0.75534145]
[ 0.1379666  0.8620334]
[ 0.39825841  0.60174159]
[ 0.3800215  0.6199785]
[ 0.25425379  0.74574621]
[ 0.17282262  0.82717738]
[ 0.05648092  0.94351908]
[ 0.22813982  0.77186018]
[ 0.2435796  0.7564204]
[ 0.22731923  0.77268077]
[ 0.98650138  0.01349862]
[ 0.2220342  0.7779658]
[ 0.11279523  0.88720477]
[ 0.4469997  0.5530003]
[ 0.30509486  0.69490514]
[ 0.74187746  0.25812254]
[ 0.02347889  0.97652111]
[ 0.12355245  0.87644755]
[ 0.06427573  0.93572427]
[ 0.23787058  0.76212942]
[ 0.06946598  0.93053402]
[ 0.04730263  0.95269737]
[ 0.00560548  0.99439452]
[ 0.290869  0.709131]
[ 0.23851136  0.76148864]
[ 0.34975538  0.65024462]
[ 0.98575724  0.01424276]
[ 0.08262846  0.91737154]
[ 0.44721093  0.55278907]
[ 0.15156428  0.84843572]
[ 0.98632109  0.01367891]
[ 0.31080346  0.68919654]
[ 0.22865569  0.77134431]
[ 0.06297073  0.93702927]
[ 0.10456356  0.89543644]
[ 0.0501894  0.9498106]
[ 0.01362154  0.98637846]
[ 0.99441552  0.00558448]
[ 0.04885692  0.95114308]
[ 0.10456356  0.89543644]
[ 0.00561647  0.99438353]
[ 0.15712308  0.84287692]
[ 0.04594886  0.95405114]
[ 0.19040347  0.80959653]
[ 0.22148087  0.77851913]
[ 0.05809477  0.94190523]
[ 0.22292219  0.77707781]
[ 0.22191463  0.77808537]
[ 0.13492521  0.86507479]
[ 0.30551522  0.69448478]
[ 0.05472244  0.94527756]
[ 0.08721105  0.91278895]
[ 0.08269462  0.91730538]
[ 0.8152792  0.1847208]
[ 0.16500896  0.83499104]
[ 0.24681043  0.75318957]
[ 0.09589503  0.90410497]
[ 0.37699486  0.62300514]
[ 0.17151275  0.82848725]
[ 0.11517328  0.88482672]
[ 0.30537473  0.69462527]
[ 0.07118771  0.92881229]
[ 0.04730999  0.95269001]
[ 0.17190733  0.82809267]
[ 0.05684986  0.94315014]
[ 0.08915779  0.91084221]
[ 0.2664686  0.7335314]
[ 0.00885038  0.99114962]
[ 0.0773215  0.9226785]
[ 0.35991692  0.64008308]
[ 0.09673086  0.90326914]
[ 0.18701758  0.81298242]
[ 0.15811835  0.84188165]
[ 0.19890443  0.80109557]
[ 0.00594031  0.99405969]
[ 0.24465796  0.75534204]
[ 0.28030265  0.71969735]
[ 0.42320402  0.57679598]
[ 0.39244748  0.60755252]
[ 0.01031691  0.98968309]
[ 0.2093302  0.7906698]
[ 0.00149429  0.99850571]
[ 0.40841352  0.59158648]
